"# Backtest method: Friday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Friday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:44:17  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:42–9:51 AM  |  Optimal exit frame = 11:05–11:43 AM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,P,GOOGL240719P00180000,180.0,REAL,9:42–9:51 AM,1.44,11:05–11:43 AM,1.4561,0.0161,1,144.0,1.61,True,0DTE (same-day expiry)
2024-07-26,P,GOOGL240726P00165000,165.0,REAL,9:42–9:51 AM,1.0744,11:05–11:43 AM,0.2547,-0.8197,1,107.44,-81.97,False,0DTE (same-day expiry)
2024-08-02,P,GOOGL240802P00165000,165.0,REAL,9:42–9:51 AM,0.32,11:05–11:43 AM,0.4905,0.1705,4,128.0,68.22,True,0DTE (same-day expiry)
2024-08-09,P,GOOGL240809P00160000,160.0,REAL,9:42–9:51 AM,0.8744,11:05–11:43 AM,0.7175,-0.1569,2,174.89,-31.39,False,0DTE (same-day expiry)
2024-08-16,P,GOOGL240816P00160000,160.0,REAL,9:42–9:51 AM,0.1044,11:05–11:43 AM,0.0245,-0.0799,10,104.44,-79.9,False,0DTE (same-day expiry)
2024-08-23,P,GOOGL240823P00165000,165.0,REAL,9:42–9:51 AM,0.9689,11:05–11:43 AM,0.52,-0.4489,2,193.78,-89.78,False,0DTE (same-day expiry)
2024-08-30,P,GOOGL240830P00165000,165.0,REAL,9:42–9:51 AM,2.5088,11:05–11:43 AM,2.9882,0.4795,1,250.88,47.95,True,0DTE (same-day expiry)
2024-09-06,P,GOOGL240906P00160000,160.0,REAL,9:42–9:51 AM,4.0575,11:05–11:43 AM,7.3536,3.2961,1,405.75,329.61,True,0DTE (same-day expiry)
2024-09-13,P,GOOGL240913P00155000,155.0,REAL,9:42–9:51 AM,0.2878,11:05–11:43 AM,0.0519,-0.2358,4,115.11,-94.33,False,0DTE (same-day expiry)
2024-09-20,P,GOOGL240920P00165000,165.0,REAL,9:42–9:51 AM,2.025,11:05–11:43 AM,2.6275,0.6025,1,202.5,60.25,True,0DTE (same-day expiry)
2024-09-27,P,GOOGL240927P00165000,165.0,REAL,9:42–9:51 AM,1.7062,11:05–11:43 AM,0.6942,-1.012,1,170.62,-101.2,False,0DTE (same-day expiry)
2024-10-04,P,GOOGL241004P00170000,170.0,REAL,9:42–9:51 AM,2.2,11:05–11:43 AM,3.8933,1.6933,1,220.0,169.33,True,0DTE (same-day expiry)
2024-10-11,P,GOOGL241011P00160000,160.0,REAL,9:42–9:51 AM,0.1278,11:05–11:43 AM,0.02,-0.1078,8,102.22,-86.22,False,0DTE (same-day expiry)
2024-10-18,P,GOOGL241018P00165000,165.0,REAL,9:42–9:51 AM,1.01,11:05–11:43 AM,1.497,0.487,1,101.0,48.7,True,0DTE (same-day expiry)
2024-10-25,P,GOOGL241025P00165000,165.0,REAL,9:42–9:51 AM,0.9578,11:05–11:43 AM,0.3281,-0.6297,2,191.56,-125.93,False,0DTE (same-day expiry)
2024-11-01,P,GOOGL241101P00170000,170.0,REAL,9:42–9:51 AM,0.2278,11:05–11:43 AM,0.1817,-0.0461,5,113.89,-23.03,False,0DTE (same-day expiry)
2024-11-08,P,GOOGL241108P00180000,180.0,REAL,9:42–9:51 AM,0.8889,11:05–11:43 AM,1.4411,0.5522,2,177.78,110.43,True,0DTE (same-day expiry)
