"# Backtest method: Friday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Friday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:44:13  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 3:32–3:37 PM  |  Optimal exit frame = 3:55–4:00 PM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,C,GOOGL240719C00180000,180.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2024-07-26,C,GOOGL240726C00165000,165.0,REAL,3:32–3:37 PM,1.25,3:55–4:00 PM,1.695,0.445,1,125.0,44.5,True,0DTE (same-day expiry)
2024-08-02,C,GOOGL240802C00165000,165.0,REAL,3:32–3:37 PM,1.5067,3:55–4:00 PM,1.52,0.0133,1,150.67,1.33,True,0DTE (same-day expiry)
2024-08-09,C,GOOGL240809C00160000,160.0,REAL,3:32–3:37 PM,2.74,3:55–4:00 PM,3.498,0.758,1,274.0,75.8,True,0DTE (same-day expiry)
2024-08-16,C,GOOGL240816C00160000,160.0,REAL,3:32–3:37 PM,3.302,3:55–4:00 PM,2.9625,-0.3395,1,330.2,-33.95,False,0DTE (same-day expiry)
2024-08-23,C,GOOGL240823C00165000,165.0,REAL,3:32–3:37 PM,0.615,3:55–4:00 PM,0.642,0.027,2,123.0,5.4,True,0DTE (same-day expiry)
2024-08-30,C,GOOGL240830C00165000,165.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2024-09-06,C,GOOGL240906C00160000,160.0,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-09-13,C,GOOGL240913C00155000,155.0,REAL,3:32–3:37 PM,2.5925,3:55–4:00 PM,2.51,-0.0825,1,259.25,-8.25,False,0DTE (same-day expiry)
2024-09-20,C,GOOGL240920C00165000,165.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2024-09-27,C,GOOGL240927C00165000,165.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2024-10-04,C,GOOGL241004C00170000,170.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2024-10-11,C,GOOGL241011C00160000,160.0,REAL,3:32–3:37 PM,3.8,3:55–4:00 PM,3.1833,-0.6167,1,380.0,-61.67,False,0DTE (same-day expiry)
2024-10-18,C,GOOGL241018C00165000,165.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2024-10-25,C,GOOGL241025C00165000,165.0,REAL,3:32–3:37 PM,0.194,3:55–4:00 PM,0.2,0.006,6,116.4,3.6,True,0DTE (same-day expiry)
2024-11-01,C,GOOGL241101C00170000,170.0,REAL,3:32–3:37 PM,1.096,3:55–4:00 PM,1.392,0.296,1,109.6,29.6,True,0DTE (same-day expiry)
2024-11-08,C,GOOGL241108C00180000,180.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2024-11-15,C,GOOGL241115C00175000,175.0,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-11-22,C,GOOGL241122C00160000,160.0,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-11-29,C,GOOGL241129C00170000,170.0,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-12-06,C,GOOGL241206C00170000,170.0,REAL,3:32–3:37 PM,4.455,3:55–4:00 PM,4.785,0.33,1,445.5,33.0,True,0DTE (same-day expiry)
2024-12-13,C,GOOGL241213C00190000,190.0,REAL,3:32–3:37 PM,0.714,3:55–4:00 PM,0.074,-0.64,2,142.8,-128.0,False,0DTE (same-day expiry)
2024-12-20,C,GOOGL241220C00185000,185.0,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-12-27,C,GOOGL241227C00195000,195.0,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2025-01-03,C,GOOGL250103C00190000,190.0,REAL,3:32–3:37 PM,1.8875,3:55–4:00 PM,1.824,-0.0635,1,188.75,-6.35,False,0DTE (same-day expiry)
2025-01-10,C,GOOGL250110C00195000,195.0,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2025-01-17,C,GOOGL250117C00195000,195.0,REAL,3:32–3:37 PM,1.022,3:55–4:00 PM,0.97,-0.052,1,102.2,-5.2,False,0DTE (same-day expiry)
2025-01-24,C,GOOGL250124C00200000,200.0,REAL,3:32–3:37 PM,0.094,3:55–4:00 PM,0.124,0.03,11,103.4,33.0,True,0DTE (same-day expiry)
2025-01-31,C,GOOGL250131C00200000,200.0,REAL,3:32–3:37 PM,3.702,3:55–4:00 PM,3.98,0.278,1,370.2,27.8,True,0DTE (same-day expiry)
2025-02-07,C,GOOGL250207C00190000,190.0,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2025-02-14,C,GOOGL250214C00185000,185.0,REAL,3:32–3:37 PM,0.416,3:55–4:00 PM,0.274,-0.142,3,124.8,-42.6,False,0DTE (same-day expiry)
2025-02-21,C,GOOGL250221C00185000,185.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2025-02-28,C,GOOGL250228C00170000,170.0,REAL,3:32–3:37 PM,0.0125,3:55–4:00 PM,0.334,0.3215,80,100.0,2572.0,True,0DTE (same-day expiry)
2025-03-07,C,GOOGL250307C00170000,170.0,REAL,3:32–3:37 PM,3.6375,3:55–4:00 PM,4.0567,0.4192,1,363.75,41.92,True,0DTE (same-day expiry)
2025-03-14,C,GOOGL250314C00165000,165.0,REAL,3:32–3:37 PM,0.31,3:55–4:00 PM,0.714,0.404,4,124.0,161.6,True,0DTE (same-day expiry)
2025-03-21,C,GOOGL250321C00160000,160.0,REAL,3:32–3:37 PM,3.0875,3:55–4:00 PM,4.01,0.9225,1,308.75,92.25,True,0DTE (same-day expiry)
2025-03-28,C,GOOGL250328C00160000,160.0,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2025-04-04,C,GOOGL250404C00150000,150.0,REAL,3:32–3:37 PM,0.038,3:55–4:00 PM,0.01,-0.028,27,102.6,-75.6,False,0DTE (same-day expiry)
2025-04-11,C,GOOGL250411C00155000,155.0,REAL,3:32–3:37 PM,1.938,3:55–4:00 PM,2.2,0.262,1,193.8,26.2,True,0DTE (same-day expiry)
2025-04-18,C,,0.0,MISS,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,missing data (entry-day market holiday)
2025-04-25,C,GOOGL250425C00165000,165.0,REAL,3:32–3:37 PM,0.012,3:55–4:00 PM,0.01,-0.002,84,100.8,-16.8,False,0DTE (same-day expiry)
2025-05-02,C,GOOGL250502C00165000,165.0,REAL,3:32–3:37 PM,0.012,3:55–4:00 PM,0.01,-0.002,84,100.8,-16.8,False,0DTE (same-day expiry)
2025-05-09,C,GOOGL250509C00155000,155.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2025-05-16,C,GOOGL250516C00170000,170.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2025-05-23,C,GOOGL250523C00170000,170.0,REAL,3:32–3:37 PM,0.026,3:55–4:00 PM,0.01,-0.016,39,101.4,-62.4,False,0DTE (same-day expiry)
2025-05-30,C,GOOGL250530C00170000,170.0,REAL,3:32–3:37 PM,1.068,3:55–4:00 PM,1.948,0.88,1,106.8,88.0,True,0DTE (same-day expiry)
2025-06-06,C,GOOGL250606C00170000,170.0,REAL,3:32–3:37 PM,3.708,3:55–4:00 PM,3.784,0.076,1,370.8,7.6,True,0DTE (same-day expiry)
2025-06-13,C,GOOGL250613C00175000,175.0,REAL,3:32–3:37 PM,0.266,3:55–4:00 PM,0.024,-0.242,4,106.4,-96.8,False,0DTE (same-day expiry)
2025-06-20,C,GOOGL250620C00175000,175.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2025-06-27,C,GOOGL250627C00175000,175.0,REAL,3:32–3:37 PM,0.01,3:55–4:00 PM,2.97,2.96,101,101.0,29896.0,True,0DTE (same-day expiry)
2025-07-04,C,,0.0,MISS,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,missing data (entry-day market holiday)
2025-07-11,C,GOOGL250711C00175000,175.0,REAL,3:32–3:37 PM,5.328,3:55–4:00 PM,5.238,-0.09,1,532.8,-9.0,False,0DTE (same-day expiry)
2025-07-18,C,GOOGL250718C00185000,185.0,REAL,3:32–3:37 PM,0.054,3:55–4:00 PM,0.104,0.05,19,102.6,95.0,True,0DTE (same-day expiry)
2025-07-25,C,GOOGL250725C00195000,195.0,REAL,3:32–3:37 PM,0.014,3:55–4:00 PM,0.01,-0.004,72,100.8,-28.8,False,0DTE (same-day expiry)
2025-08-01,C,GOOGL250801C00190000,190.0,REAL,3:32–3:37 PM,0.015,3:55–4:00 PM,0.01,-0.005,67,100.5,-33.5,False,0DTE (same-day expiry)
2025-08-08,C,GOOGL250808C00200000,200.0,REAL,3:32–3:37 PM,1.492,3:55–4:00 PM,1.504,0.012,1,149.2,1.2,True,0DTE (same-day expiry)
2025-08-15,C,GOOGL250815C00202500,202.5,REAL,3:32–3:37 PM,2.62,3:55–4:00 PM,1.654,-0.966,1,262.0,-96.6,False,0DTE (same-day expiry)
2025-08-22,C,GOOGL250822C00202500,202.5,REAL,3:32–3:37 PM,3.3875,3:55–4:00 PM,3.5975,0.21,1,338.75,21.0,True,0DTE (same-day expiry)
2025-08-29,C,GOOGL250829C00210000,210.0,REAL,3:32–3:37 PM,3.12,3:55–4:00 PM,3.0275,-0.0925,1,312.0,-9.25,False,0DTE (same-day expiry)
2025-09-05,C,GOOGL250905C00232500,232.5,REAL,3:32–3:37 PM,1.85,3:55–4:00 PM,2.432,0.582,1,185.0,58.2,True,0DTE (same-day expiry)
2025-09-12,C,GOOGL250912C00240000,240.0,REAL,3:32–3:37 PM,0.968,3:55–4:00 PM,0.902,-0.066,2,193.6,-13.2,False,0DTE (same-day expiry)
2025-09-19,C,GOOGL250919C00255000,255.0,REAL,3:32–3:37 PM,0.718,3:55–4:00 PM,0.326,-0.392,2,143.6,-78.4,False,0DTE (same-day expiry)
2025-09-26,C,GOOGL250926C00247500,247.5,REAL,3:32–3:37 PM,0.092,3:55–4:00 PM,0.012,-0.08,11,101.2,-88.0,False,0DTE (same-day expiry)
2025-10-03,C,GOOGL251003C00245000,245.0,REAL,3:32–3:37 PM,0.09,3:55–4:00 PM,0.35,0.26,12,108.0,312.0,True,0DTE (same-day expiry)
2025-10-10,C,GOOGL251010C00242500,242.5,REAL,3:32–3:37 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2025-10-17,C,GOOGL251017C00250000,250.0,REAL,3:32–3:37 PM,2.868,3:55–4:00 PM,3.35,0.482,1,286.8,48.2,True,0DTE (same-day expiry)
